username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;imagelinks
nikohannibal;2016-08-06 01:27;0;0;"Taking a casual selfie and, I kind of feel I'm very bad at it #badselfie #selfie #showingyouanyways pic.twitter.com/9TYX39tUik";;;#badselfie #selfie #showingyouanyways;"761652327073865728";https://twitter.com/nikohannibal/status/761652327073865728;https://pbs.twimg.com/media/CpHuv2wWAAEoq2y.jpg 
MS_ESOL_FCPS;2016-08-05 00:26;3;4;"Collaboration! SpEd and ESOL building cultures of support! #badselfie #R2Kickff #FCPSESOL pic.twitter.com/ljwbkKN9DD";;;#badselfie #R2Kickff #FCPSESOL;"761274589682999300";https://twitter.com/MS_ESOL_FCPS/status/761274589682999300;https://pbs.twimg.com/media/CpCXLwOWEAEN04E.jpg 
BigBroadSports;2016-08-04 22:38;0;0;"All we see is u. #BadSelfie https:// twitter.com/venicemase/sta tus/761245716966547456 …";;;#BadSelfie;"761247456264753152";https://twitter.com/BigBroadSports/status/761247456264753152;https://pbs.twimg.com/media/CpB79GPUsAETyBR.jpg 
detaled;2016-08-03 22:10;0;1;"Obligatory #badselfie http:// ift.tt/2aQnuX6 pic.twitter.com/GpFoiqSydt";;;#badselfie;"760877900270796800";https://twitter.com/detaled/status/760877900270796800;https://pbs.twimg.com/media/Co8uaqmWcAEfjeC.jpg 
reneeisafish;2016-08-03 21:03;0;0;"@gwenstefani you killed it last night. Detroit loves you!! #8mile #badselfie pic.twitter.com/Z8tbDW0lT5";;@gwenstefani;#8mile #badselfie;"760861108341268480";https://twitter.com/reneeisafish/status/760861108341268480;https://pbs.twimg.com/media/Co8fI6mXgAAuI-5.jpg 
brownprecollege;2016-08-01 16:11;1;1;"Safety first at BELL Alaska! #moose #badselfie #bellalaska #brownprecollege #alaska pic.twitter.com/lRD9gmWjHV";Warwick, RI;;#moose #badselfie #bellalaska #brownprecollege #alaska;"760062957631963137";https://twitter.com/brownprecollege/status/760062957631963137;https://pbs.twimg.com/media/CoxJOipXgAA3sIZ.jpg 
loireloire;2016-07-30 13:52;0;1;"I lost the night #hangover #why #ilostthenight #glasses #crookedglasses #selfie #bedselfie #badselfie #barelyalive pic.twitter.com/FNsiHYFnbt";;;#hangover #why #ilostthenight #glasses #crookedglasses #selfie #bedselfie #badselfie #barelyalive;"759303061642813440";https://twitter.com/loireloire/status/759303061642813440;https://pbs.twimg.com/media/ComWGcVXgAAb9Du.jpg 
JetSettingFools;2016-07-26 21:00;1;4;"Straddling Slovenia And Italy #travelpics #traveltuesday #rtw #badselfie pic.twitter.com/0B8zdW1Gp5";;;#travelpics #traveltuesday #rtw #badselfie;"757961407799369728";https://twitter.com/JetSettingFools/status/757961407799369728;https://pbs.twimg.com/media/CoTR4WMWgAAF0d3.jpg https://pbs.twimg.com/media/CoTR4UgWEAAPXcX.jpg 
isalu507;2016-07-20 22:30;0;5;"Badselfie i Bergsjön. Jag kan inte vara utan vatten så här länge. pic.twitter.com/6v66wrFUnR";;;;"755809657168531456";https://twitter.com/isalu507/status/755809657168531456;https://pbs.twimg.com/media/Cn0s3CaXEAAH8FF.jpg 
EamonCartine;2016-07-13 22:46;0;0;"Low angle selfie makes me feel masculine #badselfie pic.twitter.com/WRsMwubh0A";;;#badselfie;"753276881391259648";https://twitter.com/EamonCartine/status/753276881391259648;https://pbs.twimg.com/media/CnQtUj3XgAA0_Q0.jpg 
